Category Name	Item Name	UoM																					
BEEF	BEEF CURRY	NOS																					
BEEF	BEEF CURRY-HALF	NOS																					
BEEF	BEEF DRY FRY	NOS																					
BEEF	BEEF FRY	NOS																					
BEEF	BEEF KIZHI	NOS																					
BEEF	BEEF MASALA	NOS																					
BEEF	BEEF ROAST	NOS																					
BEEF	BEEF ROAST-HALF	NOS																					
BEEF	BEEF STEAKS	NOS																					
BEEF	MEET ROLL	NOS																					
BISCUITS	AROVITA BISCUITS	NOS																					
BISCUITS	ARRO ROOT 300 GM	NOS																					
BISCUITS	ARROWROOT	NOS																					
BISCUITS	ARROWROOT 4 NOS	NOS																					
BISCUITS	ARROWROOT RS 30	NOS																					
BISCUITS	ARROWROOT RS 35	NOS																					
BISCUITS	ARROWROOT RS-25	NOS																					
BISCUITS	ARROWROOT RS-50	NOS																					
BISCUITS	ATTA BIX RS 40	NOS																					
BISCUITS	BISCUIT ALWIN RS 5	NOS																					
BISCUITS	BISCUITS 20-20 RS. 25	NOS																					
BISCUITS	BISCUITS 20-20 RS. 30	NOS																					
BISCUITS	BISCUITS 50 50 RS 30 1	NOS																					
BISCUITS	BISCUITS 50 50 RS 30 2	NOS																					
BISCUITS	BISCUT 50-50 RS 35	NOS																					
BISCUITS	BISCUTE 50-50 CHASKA MASKA MRP 30	NOS																					
BISCUITS	BOURBON RS 40	NOS																					
BISCUITS	BRITANIA NUTRI CHOICE @50	NOS																					
BISCUITS	BRITANIA 50-50 @30	NOS																					
BISCUITS	BRITANIA 50-50 MRP 30	NOS																					
BISCUITS	BRITANIA TREAT MRP 30	NOS																					
BISCUITS	BRITANNIA MILK BIKIES RS 30	NOS																					
BISCUITS	BROWNIE CAKE RS 20	NOS																					
BISCUITS	COFFEE JOY	NOS																					
BISCUITS	COFFEJOY MRP 25	NOS																					
BISCUITS	CRACKER RS 50	NOS																					
BISCUITS	DAILEE MANGO MRP 40	NOS																					
BISCUITS	DARK FANTACY	NOS																					
BISCUITS	DARK FANTASY BOURBON	NOS																					
BISCUITS	DARK TREATS ECLAIRS RS. 150	NOS																					
BISCUITS	FAB BOURBON	NOS																					
BISCUITS	FAB BOURBON SMALL	NOS																					
BISCUITS	GOOD DAY 20	NOS																					
BISCUITS	GOOD DAY 40	NOS																					
BISCUITS	GOOD DAY 50	NOS																					
BISCUITS	GOOD DAY RS 25	NOS																					
BISCUITS	HER KIS RS 60	NOS																					
BISCUITS	HIDE & SEEK RS 30	NOS																					
BISCUITS	KRACK JACK @ 35	NOS																					
BISCUITS	KRACK JACK @35	NOS																					
BISCUITS	LITE CRACKERS	NOS																					
BISCUITS	MALKIST BISCUIT RS 10	NOS																					
BISCUITS	MALKIST BISCUT RS 50	NOS																					
BISCUITS	MALKIST CHOCOLATE MRP 50	NOS																					
BISCUITS	MARILIGHT RS 10	NOS																					
BISCUITS	MILK BIKIES MRP 20	NOS																					
BISCUITS	MILK BIKIES MRP 25	NOS																					
BISCUITS	MILK BIKIES RS 25	NOS																					
BISCUITS	MOMS MAGIC	NOS																					
BISCUITS	MOMS MAGIC BUTTER	NOS																					
BISCUITS	MOMS MAGIC BUTTER @ 20	NOS																					
BISCUITS	NABATI MRP 10	NOS																					
BISCUITS	NABATI RS 20	NOS																					
BISCUITS	OREO RS 35	NOS																					
BISCUITS	PARLE - G	NOS																					
BISCUITS	PARLE - G RS 25	NOS																					
BISCUITS	PARLE - G@10	NOS																					
BISCUITS	PARLE 20 - 20	NOS																					
BISCUITS	PARLE 20 20 RS 30	NOS																					
BISCUITS	PARLE ARROVITA	NOS																					
BISCUITS	PARLE G RS 10	NOS																					
BISCUITS	PARLE HAPPY HAPPY RS 10	NOS																					
BISCUITS	PARLE HIDE & SEEK	NOS																					
BISCUITS	PARLE HIDE & SEEK MRP 60	NOS																					
BISCUITS	PARLE KRACK JACK	NOS																					
BISCUITS	PARLE KRACK JACK MRP 30	NOS																					
BISCUITS	PARLE KRACK JACK RS 40	NOS																					
BISCUITS	PARLE MARI LIGHT	NOS																					
BISCUITS	PARLE MILANO	NOS																					
BISCUITS	PARLE RUSK	NOS																					
BISCUITS	POTATO BISCUITS RS 20	NOS																					
BISCUITS	POTATO BISCUT MRP 25	NOS																					
BISCUITS	SF MARILIGHT MRP 20	NOS																					
BISCUITS	SUNFEAST BOUNCE BISCUIT RS 10	NOS																					
BISCUITS	SUNFEAST BOURBON RS 20	NOS																					
BISCUITS	SUNFEAST BOURBON RS 35	NOS																					
BISCUITS	SUNFEAST BOURBON RS 40	NOS																					
BISCUITS	SUNFEAST BOURBON RS10	NOS																					
BISCUITS	SUNFEAST BOURBON RS25	NOS																					
BISCUITS	SUNFEAST DARK FANTASY BOURBON	NOS																					
BISCUITS	SUNFEAST MARIELIGHT RS 25	NOS																					
BISCUITS	SUNFEAST SNACKY	NOS																					
